t,x,y
0.44600,2.90343,2.62556
0.44700,2.90994,2.62768
0.44800,2.91645,2.62980
0.44900,2.92296,2.63190
0.45000,2.92947,2.63400
0.45100,2.93598,2.63608
0.45200,2.94249,2.63816
0.45300,2.94900,2.64023
0.45400,2.95551,2.64228
0.45500,2.96202,2.64433
0.45600,2.96853,2.64637
0.45700,2.97504,2.64839
0.45800,2.98155,2.65041
0.45900,2.98806,2.65242
0.46000,2.99457,2.65441
0.46100,3.00108,2.65640
0.46200,3.00759,2.65838
0.46300,3.01410,2.66035
0.46400,3.02061,2.66231
0.46500,3.02712,2.66425
0.46600,3.03363,2.66619
0.46700,3.04014,2.66812
0.46800,3.04665,2.67004
0.46900,3.05316,2.67195
0.47000,3.05967,2.67385
0.47100,3.06618,2.67574
0.47200,3.07269,2.67762
0.47300,3.07920,2.67949
0.47400,3.08571,2.68135
0.47500,3.09222,2.68320
0.47600,3.09873,2.68504
0.47700,3.10524,2.68687
0.47800,3.11175,2.68869
0.47900,3.11826,2.69050
0.48000,3.12477,2.69230
0.48100,3.13128,2.69409
0.48200,3.13779,2.69587
0.48300,3.14430,2.69764
0.48400,3.15081,2.69941
0.48500,3.15732,2.70116
0.48600,3.16383,2.70290
0.48700,3.17034,2.70463
0.48800,3.17685,2.70636
0.48900,3.18336,2.70807
0.49000,3.18987,2.70977
0.49100,3.19638,2.71147
0.49200,3.20289,2.71315
0.49300,3.20940,2.71482
0.49400,3.21591,2.71649
0.49500,3.22242,2.71814
0.49600,3.22893,2.71978
0.49700,3.23544,2.72142
0.49800,3.24195,2.72304
0.49900,3.24846,2.72466
0.50000,3.25497,2.72626
0.50100,3.26148,2.72786
0.50200,3.26799,2.72944
0.50300,3.27450,2.73102
0.50400,3.28101,2.73258
0.50500,3.28752,2.73414
0.50600,3.29403,2.73569
0.50700,3.30053,2.73722
0.50800,3.30704,2.73875
0.50900,3.31355,2.74027
0.51000,3.32006,2.74177
0.51100,3.32657,2.74327
0.51200,3.33308,2.74476
0.51300,3.33959,2.74623
0.51400,3.34610,2.74770
0.51500,3.35261,2.74916
0.51600,3.35912,2.75061
0.51700,3.36563,2.75205
0.51800,3.37214,2.75347
0.51900,3.37865,2.75489
0.52000,3.38516,2.75630
0.52100,3.39167,2.75770
0.52200,3.39818,2.75909
0.52300,3.40469,2.76047
0.52400,3.41120,2.76184
0.52500,3.41771,2.76320
0.52600,3.42422,2.76455
0.52700,3.43073,2.76589
0.52800,3.43724,2.76722
0.52900,3.44375,2.76854
0.53000,3.45026,2.76985
0.53100,3.45677,2.77115
0.53200,3.46328,2.77244
0.53300,3.46979,2.77372
0.53400,3.47630,2.77499
0.53500,3.48281,2.77626
0.53600,3.48932,2.77751
0.53700,3.49583,2.77875
0.53800,3.50234,2.77998
0.53900,3.50885,2.78120
0.54000,3.51536,2.78242
0.54100,3.52187,2.78362
0.54200,3.52838,2.78481
0.54300,3.53489,2.78599
0.54400,3.54140,2.78717
0.54500,3.54791,2.78833
0.54600,3.55442,2.78949
0.54700,3.56093,2.79063
0.54800,3.56744,2.79176
0.54900,3.57395,2.79289
0.55000,3.58046,2.79400
0.55100,3.58697,2.79511
0.55200,3.59348,2.79620
0.55300,3.59999,2.79729
0.55400,3.60650,2.79836
0.55500,3.61301,2.79943
0.55600,3.61952,2.80048
0.55700,3.62603,2.80153
0.55800,3.63254,2.80256
0.55900,3.63905,2.80359
0.56000,3.64556,2.80461
0.56100,3.65207,2.80561
0.56200,3.65858,2.80661
0.56300,3.66509,2.80760
0.56400,3.67160,2.80857
0.56500,3.67811,2.80954
0.56600,3.68462,2.81050
0.56700,3.69113,2.81145
0.56800,3.69764,2.81238
0.56900,3.70415,2.81331
0.57000,3.71066,2.81423
0.57100,3.71717,2.81514
0.57200,3.72368,2.81604
0.57300,3.73019,2.81693
0.57400,3.73670,2.81781
0.57500,3.74321,2.81867
0.57600,3.74972,2.81953
0.57700,3.75623,2.82038
0.57800,3.76274,2.82122
0.57900,3.76925,2.82205
0.58000,3.77576,2.82287
0.58100,3.78227,2.82368
0.58200,3.78878,2.82448
0.58300,3.79529,2.82527
0.58400,3.80180,2.82606
0.58500,3.80831,2.82683
0.58600,3.81482,2.82759
0.58700,3.82133,2.82834
0.58800,3.82784,2.82908
0.58900,3.83435,2.82981
0.59000,3.84086,2.83053
0.59100,3.84737,2.83125
0.59200,3.85388,2.83195
0.59300,3.86039,2.83264
0.59400,3.86690,2.83332
0.59500,3.87341,2.83400
0.59600,3.87992,2.83466
0.59700,3.88643,2.83531
0.59800,3.89294,2.83596
0.59900,3.89945,2.83659
0.60000,3.90596,2.83722
0.60100,3.91247,2.83783
0.60200,3.91898,2.83843
0.60300,3.92549,2.83903
0.60400,3.93200,2.83961
0.60500,3.93851,2.84019
0.60600,3.94502,2.84075
0.60700,3.95153,2.84131
0.60800,3.95804,2.84185
0.60900,3.96455,2.84239
0.61000,3.97106,2.84292
0.61100,3.97757,2.84343
0.61200,3.98408,2.84394
0.61300,3.99059,2.84443
0.61400,3.99710,2.84492
0.61500,4.00361,2.84540
0.61600,4.01012,2.84586
0.61700,4.01663,2.84632
0.61800,4.02314,2.84677
0.61900,4.02965,2.84721
0.62000,4.03616,2.84763
0.62100,4.04267,2.84805
0.62200,4.04918,2.84846
0.62300,4.05569,2.84886
0.62400,4.06220,2.84925
0.62500,4.06871,2.84963
0.62600,4.07522,2.84999
0.62700,4.08173,2.85035
0.62800,4.08824,2.85070
0.62900,4.09475,2.85104
0.63000,4.10126,2.85137
0.63100,4.10777,2.85169
0.63200,4.11428,2.85200
0.63300,4.12079,2.85230
0.63400,4.12730,2.85259
0.63500,4.13381,2.85287
0.63600,4.14032,2.85314
0.63700,4.14683,2.85340
0.63800,4.15334,2.85366
0.63900,4.15985,2.85390
0.64000,4.16636,2.85413
0.64100,4.17287,2.85435
0.64200,4.17938,2.85456
0.64300,4.18589,2.85476
0.64400,4.19240,2.85496
0.64500,4.19891,2.85514
0.64600,4.20542,2.85531
